,birth_date,city,country,current_team,first_name,height,is_active,last_name,state,weight
51,1998-06-11,Maitland,AUS,2,Hudson,184.0,True,Young,NSW,99.0
52,1986-08-04,Auckland,NZ,2,Iosia,185.0,True,Soliola,,100.0
53,1997-06-26,Batemans Bay,AUS,2,Jack,193.0,True,Murchie,NSW,105.0
54,1996-02-15,Logan City,AUS,2,JJ,184.0,True,Collins,QLD,105.0
55,1993-09-30,Bradford,ENG,2,John,185.0,True,Bateman,,96.0
56,1994-05-04,Wellington,NZ,2,Joseph,188.0,True,Tapine,,107.0
57,1989-10-31,Hull,UK,2,Josh,180.0,True,Hodgson,,94.0
58,1992-05-13,Auckland,NZ,2,Josh,182.0,True,Papalii,,112.0
59,1999-07-05,Brisbane,AUS,2,Kyle,178.0,True,Paterson,QLD,83.0
60,1995-01-25,Toowoomba,AUS,2,Luke,182.0,True,Bateman,QLD,100.0
61,1997-03-26,Wellington,NZ,2,Reuben,189.0,True,Porter,,102.0
62,,,,2,,,True,,,
63,1995-08-02,Billinge,ENG,2,Ryan,187.0,True,Sutton,,103.0
64,,,,2,,,True,,,
65,1994-10-16,Bega,AUS,3,Adam,185.0,True,Elliott,NSW,103.0
66,1988-11-10,Kempsey,AUS,3,Aiden,183.0,True,Tolman,NSW,102.0
67,1994-01-16,Darwin,AUS,3,Chris,185.0,True,Smith,NT,104.0
68,1994-10-20,Sydney,AUS,3,Danny,187.0,True,Fualalo,NSW,115.0
69,1994-05-23,Tofoa,TNG,3,Francis,187.0,True,Tualau,,106.0
70,1995-12-02,-,,3,Jeremy,186.0,True,Marshall-King,,83.0
71,1991-01-08,Gulgong,AUS,3,Josh,180.0,True,Jackson,NSW,99.0
72,1993-07-18,Wollongong,AUS,3,Michael,183.0,True,Lichaa,NSW,90.0
73,1996-06-06,Auckland,NZ,3,Ofahiki,192.0,True,Ogden,,106.0
74,1993-07-26,Auckland,NZ,3,Raymond,190.0,True,Faitala-Mariner,,110.0
75,1995-06-25,Porirua,NZ,3,Renouf,190.0,True,Toomaga,,110.0
76,1993-03-01,Cairns,AUS,3,Rhyse,180.0,True,Martin,QLD,103.0
77,,,,3,,,True,,,
78,1992-04-20,Otahuhu,NZ,3,Sauaso,188.0,True,Sue,,105.0
79,1999-06-16,Bathurst,AUS,3,Zac,201.0,True,Saddler,NSW,91.0
80,1992-11-13,Brisbane,AUS,3,Dylan,198.0,True,Napa,QLD,113.0
81,1999-08-10,-,,3,James,,True,Roumanos,,
82,1994-12-24,Christchurch,NZ,3,Fa'amanu,183.0,True,Brown,,90.0
83,1996-11-04,Sydney,AUS,3,John,186.0,True,Olive,NSW,99.0
84,1992-09-25,Singleton,AUS,3,Kerrod,182.0,True,Holland,NSW,94.0
85,1990-07-13,Auckland,NZ,3,Kieran,180.0,True,Foran,,90.0
86,1996-08-19,Brisbane,AUS,3,Lachlan,191.0,True,Lewis,QLD,90.0
87,1996-02-17,Lautoka,FIJ,3,Marcelo,189.0,True,Montoya,,95.0
88,1997-05-13,Sydney,AUS,3,Reimis,196.0,True,Smith,NSW,97.0
89,1992-05-09,Manly,AUS,3,Will,186.0,True,Hopoate,NSW,98.0
90,1999-01-11,Kogarah,AUS,3,Brandon,172.0,True,Wakeham,NSW,78.0
91,,,,3,,,True,,,
92,,,,3,,,True,,,
93,,,,3,,,True,,,
94,,,,3,,,True,,,
95,,,,3,,,True,,,
96,,,,3,Tuipulotu,,True,Katoa,,
97,1994-04-07,Sydney,AUS,4,Aaron,181.0,True,Gray,NSW,96.0
98,2000-09-09,-,,4,Bronson,,True,Xerri,,
99,1991-01-10,Caringbah,AUS,4,Chad,181.0,True,Townsend,NSW,89.0
100,,,,4,Isaac,,True,Lumelume,,
101,1990-05-10,Tuggeranong,AUS,4,Josh,189.0,True,Dugan,ACT,102.0
102,1986-08-23,Kiama,AUS,4,Josh,182.0,True,Morris,NSW,98.0
103,1998-09-15,Sydney,AUS,4,Kyle,183.0,True,Flanagan,NSW,85.0
104,1991-06-16,Baulkham Hills,AUS,4,Matt,185.0,True,Moylan,NSW,90.0
105,1990-09-09,Auckland,NZ,4,Shaun,179.0,True,Johnson,,91.0
106,1997-08-21,Hamilton,NZ,4,Sione,180.0,True,Katoa,,88.0
107,1991-09-05,Auckland,NZ,4,Sosaia,185.0,True,Feki,,100.0
108,1997-04-18,Bathurst,AUS,4,William,183.0,True,Kennedy,NSW,88.0
109,,,,4,Braydon,,True,Trindall,,
110,,,,4,Jackson,,True,Ferris,,
111,,,,4,Ronaldo,,True,Mulitalo,,
112,1991-03-13,Sydney,AUS,4,Aaron,194.0,True,Woods,NSW,111.0
113,1989-06-28,Blacktown,AUS,4,Andrew,194.0,True,Fifita,NSW,118.0
114,1991-06-02,Wellington,NZ,4,Ava,187.0,True,Seumanufagai,,114.0
115,1997-01-23,Sydney,AUS,4,Billy,179.0,True,Magoulias,NSW,99.0
116,1998-09-23,-,,4,Blayke,,True,Brailey,,
117,1995-01-09,Auckland,NZ,4,Braden,191.0,True,Hamlin-Uele,,115.0
118,1997-12-07,Mt Maunganui,NZ,4,Briton,185.0,True,Nikora,,94.0
119,1999-01-23,Christchurch,NZ,4,Cruz,192.0,True,Topai-Aveai,,112.0
120,1996-09-28,Pambula,AUS,4,,184.0,True,,NSW,98.0
121,,,,4,,,True,,,
122,,,,4,,,True,,,
123,,,,4,,,True,,,
124,,,,4,,,True,,,
125,,,,4,,,True,,,
126,,,,4,,,True,,,
127,,,,4,,,True,,,
128,,,,4,,,True,,,
129,1996-01-29,Sydney,AUS,4,Toby,190.0,True,Rudolf,NSW,105.0
130,1998-09-09,Brisbane,AUS,5,Alexander,181.0,True,Brimson,QLD,89.0
131,1987-09-21,Manly,AUS,5,Anthony,188.0,True,Don,NSW,100.0
132,1995-03-17,Toowoomba,AUS,5,Ashley,181.0,True,Taylor,QLD,94.0
133,1995-10-10,Brisbane,AUS,5,Brenko,190.0,True,Lee,QLD,104.0
134,1991-07-29,Ingham,AUS,5,Dale,184.0,True,Copley,QLD,93.0
135,1998-08-07,Auckland,NZ,5,Jesse,189.0,True,Arthars,,88.0
136,1983-10-24,Cooma,AUS,5,Michael,179.0,True,Gordon,NSW,88.0
137,1997-08-02,Ipswich,AUS,5,Phillip,186.0,True,Sami,QLD,97.0
138,1992-06-02,Brisbane,AUS,5,Ryley,185.0,True,Jacks,QLD,94.0
139,1991-08-08,Wellington,AUS,5,Tyrone,183.0,True,Peachey,NSW,93.0
140,1991-06-01,Grafton,AUS,5,Tyrone,175.0,True,Roberts,NSW,89.0
141,1996-05-20,Lismore,AUS,5,Brian,181.0,True,Kelly,NSW,94.0
142,,,,5,Jaxson,,True,Paulo,,
143,,,,5,Kea,,True,Pere,,
144,,,,5,Treymain,,True,Spry,,
145,1994-11-15,Penrith,AUS,5,Bryce,193.0,True,Cartwright,NSW,107.0
146,1992-03-02,Campbelltown,AUS,5,,192.0,True,,NSW,110.0
147,1995-12-07,Fairfield,AUS,5,Jai,189.0,True,Arrow,QLD,101.0
148,1998-01-16,Gold Coast,AUS,5,Jai,186.0,True,Whitbread,QLD,107.0
149,1991-07-23,Gold Coast,AUS,5,Jarrod,188.0,True,Wallace,QLD,109.0
150,1997-01-01,Gold Coast,AUS,5,Keegan,183.0,True,Hipgrave,QLD,102.0
151,1989-02-28,Te Kuiti,NZ,5,Kevin,189.0,True,Proctor,,107.0
152,1993-02-05,Sydney,AUS,5,Leilani,190.0,True,Latu,NSW,112.0
153,1997-05-04,Maitland,AUS,5,Max,188.0,True,King,NSW,105.0
154,1990-04-26,Wollongong,AUS,5,Mitch,176.0,True,Rein,NSW,88.0
155,1999-11-16,Gisborne,NZ,5,Moeaki,185.0,True,Fotuaika,,107.0
156,,,,5,,,True,,,
157,,,,5,,,True,,,
158,,,,5,,,True,,,
159,,,,5,,,True,,,
160,,,,5,Darius,,True,Farmer,,
161,1995-07-25,-,,6,Abbas,,True,Miski,,
162,,,,6,Albert,,True,Hopoate,,
163,1997-02-19,Manly,AUS,6,Brad,193.0,True,Parker,NSW,100.0
164,1994-01-01,Brisbane,AUS,6,Brendan,186.0,True,Elliot,QLD,94.0
165,1998-09-14,Scone,AUS,6,Cade,180.0,True,Cust,NSW,87.0
166,1989-02-20,Redcliffe,AUS,6,Daly,183.0,True,Cherry-Evans,QLD,85.0
167,1994-09-27,Sydney,AUS,6,Dylan,181.0,True,Walker,NSW,98.0
168,1997-01-29,La Perouse,AUS,6,Jade,180.0,True,Anderson,NSW,83.0
169,1991-10-23,Canberra,AUS,6,Jorge,184.0,True,Taufua,ACT,105.0
170,1994-01-14,Gold Coast,AUS,6,Kane,180.0,True,Elgey,QLD,88.0
171,1996-12-12,Goulburn,AUS,6,Lachlan,180.0,True,Croker,NSW,92.0
172,1998-06-09,Sydney,AUS,6,Moses,189.0,True,Suli,NSW,109.0
173,1997-06-30,Sydney,AUS,6,Reuben,188.0,True,Garrick,NSW,98.0
174,,,,6,,,True,,,
175,,,,6,Semisi,,True,Kioa,,
176,1998-01-03,Fairfield,AUS,6,,,True,,NSW,93.0
177,1996-10-02,Mona Vale,AUS,6,Tom,194.0,True,Trbojevic,NSW,102.0
178,1988-08-31,Campbelltown,AUS,6,Trent,178.0,True,Hodkinson,NSW,92.0
179,,,,6,,,True,,,
180,,,,6,,,True,,,
181,1992-11-07,Sydney,AUS,6,Apisai,172.0,True,Koroisau,NSW,88.0
182,1996-10-02,Sydney,AUS,6,Corey,190.0,True,Waddell,NSW,104.0
183,1993-07-31,North Ryde,AUS,6,Curtis,195.0,True,Sironen,NSW,109.0
184,,,,6,Haumole,,True,Olakau'atu,,
185,,,,6,,,True,,,
186,,,,6,,,True,,,
187,,,,6,,,True,,,
188,,,,6,,,True,,,
189,,,,6,,,True,,,
190,,,,6,,,True,,,
191,,,,6,,,True,,,
192,,,,6,,,True,,,
193,,,,6,,,True,,,
194,1993-01-24,Auckland,NZ,7,Albert,188.0,True,Vete,,110.0
195,1996-05-31,Waiheke Island,NZ,7,Brandon,180.0,True,Smith,,94.0
196,1983-06-18,Brisbane,AUS,7,Cameron,185.0,True,Smith,QLD,90.0
197,1994-07-19,Sydney,AUS,7,Christian,195.0,True,Welch,NSW,110.0
198,1991-09-07,Bega,AUS,7,Dale,188.0,True,Finucane,NSW,102.0
199,1992-05-19,Auckland,NZ,7,Felise,189.0,True,Kaufusi,,109.0
200,1998-02-17,Rockhampton,AUS,7,Harry,177.0,True,Grant,QLD,87.0
201,1989-05-03,Auckland,NZ,7,Jesse,194.0,True,Bromwich,,114.0
202,1995-12-02,Temora,AUS,7,Joe,189.0,True,Stimson,NSW,104.0
203,1999-02-27,Auckland,NZ,7,Kayleb,193.0,True,Milne,,103.0
204,,,,7,Kelma,,True,Tuilagi,,
205,1991-09-22,Auckland,NZ,7,Kenneath,183.0,True,Bromwich,,105.0
206,1996-02-29,Wellington,NZ,7,Nelson,200.0,True,Asofa-Solomona,,115.0
207,1994-02-18,Auckland,NZ,7,Patrick,188.0,True,Kaufusi,,103.0
208,2000-02-16,Orange,AUS,7,Tino,197.0,True,Faasuamaleaui,NSW,107.0
209,1994-05-18,Taveuni,FIJ,7,Tui,195.0,True,Kamikamica,,110.0
210,1994-02-09,Brisbane,AUS,7,Billy,178.0,True,Walters,QLD,88.0
211,1997-07-14,Dalby,AUS,7,Brodie,177.0,True,Croft,QLD,86.0
212,1994-09-13,Rockhampton,AUS,7,Cameron,185.0,True,Munster,QLD,89.0
213,1999-07-14,Newcastle,AUS,7,Cooper,185.0,True,Johns,NSW,77.0
214,1997-10-12,Sydney,AUS,7,Curtis,188.0,True,Scott,NSW,90.0
215,1994-10-08,Wellington,NZ,7,Jahrome,183.0,True,Hughes,,90.0
216,1995-07-28,Blacktown,AUS,7,Josh,183.0,True,Addo-Carr,NSW,88.0
217,1993-12-23,Kundiawa,PNG,7,Justin,178.0,True,Olam,,92.0
218,1995-05-27,-,,7,Marion,195.0,True,Seve,,88.0
219,1998-06-10,Sydney,AUS,7,Ryan,181.0,True,Papenhuyzen,NSW,80.0
220,1989-09-21,Sydney,AUS,7,Sandor,190.0,True,Earl,NSW,99.0
221,1997-05-15,Penrith,AUS,7,Scott,181.0,True,Drinkwater,NSW,87.0
222,1995-11-27,Suva,FIJ,7,Suliasi,192.0,True,Vunivalu,,99.0
223,1992-07-17,Blue Mountains,AUS,7,Tom,192.0,True,Eisenhuth,NSW,100.0
224,1988-05-26,Gove,AUS,7,Will,190.0,True,Chambers,NT,100.0
225,1988-02-25,Cairns,AUS,8,Aidan,191.0,True,Guerra,QLD,104.0
226,1998-05-07,Maitland,AUS,8,Brodie,183.0,True,Jones,NSW,103.0
227,1996-05-01,Newcastle,AUS,8,Daniel,195.0,True,Saifiti,NSW,121.0
228,1995-12-05,Wellington,NZ,8,Danny,177.0,True,Levi,,90.0
229,1994-09-07,Auckland,NZ,8,Herman,186.0,True,Ese'ese,,107.0
230,1996-05-01,Newcastle,AUS,8,Jacob,195.0,True,Saifiti,NSW,114.0
231,1989-11-28,Westmead,AUS,8,Jamie,181.0,True,Buhrer,NSW,94.0
232,1995-02-12,Maitland,AUS,8,Josh,187.0,True,King,NSW,105.0
233,1994-01-05,North Sydney,AUS,8,Lachlan,192.0,True,Fitzgibbon,NSW,107.0
234,1994-04-15,Wingham,AUS,8,Mitchell,187.0,True,Barnett,NSW,104.0
235,1998-08-01,Belmont,AUS,8,Pasami,190.0,True,Saulo,NSW,103.0
236,1997-08-04,Gold Coast,AUS,8,Sam,194.0,True,Stone,NSW,102.0
237,1996-06-25,Liverpool,AUS,8,Sione,183.0,True,Mata'utia,NSW,99.0
238,1991-01-16,Glenn Innes,AUS,8,Slade,178.0,True,Griffin,NSW,94.0
239,1998-08-15,Dalby,AUS,8,Beau,189.0,True,Fermor,QLD,99.0
240,1989-04-27,Townsville,AUS,8,Tim,188.0,True,Glasby,QLD,106.0
241,1996-08-09,Canberra,AUS,8,Zac,179.0,True,Woolford,ACT,90.0
242,1989-10-19,Sydney,AUS,8,James,189.0,True,Gavet,NSW,108.0
243,1993-12-22,Sydney,AUS,8,David,198.0,True,Klemmer,NSW,116.0
244,1998-03-06,Maitland,AUS,8,Brayden,189.0,True,Musgrove,NSW,102.0
245,1996-05-31,Dubbo,AUS,8,Connor,174.0,True,Watson,NSW,87.0
246,1998-03-30,Port Hedland,AUS,8,Kalyn,184.0,True,Ponga,WA,92.0
247,1989-04-07,Sydney,AUS,8,Mitchell,182.0,True,Pearce,NSW,91.0
248,1988-04-11,Gold Coast,AUS,8,Nathan,181.0,True,Ross,QLD,92.0
249,1988-01-23,Brisbane,AUS,8,Shaun,194.0,True,Kenny-Dowall,QLD,104.0
250,1993-12-06,Ipswich,AUS,8,Tautau,194.0,True,Moga,QLD,109.0
251,1992-09-19,Brisbane,AUS,8,Edrick,196.0,True,Lee,QLD,100.0
252,1997-04-27,Dubbo,AUS,8,Jesse,184.0,True,Ramien,NSW,98.0
253,1994-02-04,Apia,SAM,8,Mason,175.0,True,Lino,,84.0
254,2000-07-07,-,,8,Phoenix,183.0,True,Crossland,,86.0
255,1993-11-14,Auckland,NZ,8,Hymel,191.0,True,Hunt,,99.0
256,1993-03-01,Winton,AUS,8,Kurt,184.0,True,Mann,QLD,88.0
257,1986-03-20,Whangarei,NZ,9,Adam,188.0,True,Blair,,109.0
258,1991-11-30,Lapaha,TNG,9,Agnatius,182.0,True,Paasi,,114.0
259,1996-08-20,Auckland,NZ,9,Bunty,188.0,True,Afoa,,111.0
260,,,,9,Eliesa,,True,Katoa,,
261,1998-09-20,Auckland,NZ,9,Isaiah,182.0,True,Papali'i,,108.0
262,1987-05-29,Hawera,NZ,9,Issac,175.0,True,Luke,,93.0
263,,,,9,Jackson,,True,Frei,,
264,1995-09-04,Christchurch,NZ,9,Jazz,178.0,True,Tevaga,,94.0
265,1995-11-29,Murwillumbah,AUS,9,Karl,185.0,True,Lawton,QLD,93.0
266,,,,9,,,True,,,
267,1989-12-20,Auckland,NZ,9,Leeson,185.0,True,AhMau,,111.0
268,1990-03-27,Auckland,NZ,9,Leivaha,192.0,True,Pulu,,110.0
269,1992-10-11,Auckland,NZ,9,Ligi,187.0,True,Sao,,109.0
270,1996-04-15,Auckland,NZ,9,Nathaniel,180.0,True,Roache,,94.0
271,1994-02-19,Auckland,NZ,9,,,True,,,
272,1992-10-22,Tofoa,TNG,9,Chris,191.0,True,Satae,,114.0
273,1992-01-07,Hastings,NZ,9,Tohu,195.0,True,Harris,,112.0
274,1997-04-24,Sydney,AUS,9,Adam,183.0,True,Keighran,NSW,91.0
275,,Paddington,AUS,9,,,True,,NSW,
276,1986-09-19,Fairfield,AUS,9,Blake,179.0,True,Green,NSW,97.0
277,1999-04-03,Auckland,NZ,9,Chanel,183.0,True,Harris-Tavita,,88.0
278,1994-10-16,Auckland,NZ,9,David,189.0,True,Fusitu'a,,106.0
279,1990-07-18,Brisbane,AUS,9,Gerard,181.0,True,Beale,QLD,97.0
280,1999-07-02,Taupo,NZ,9,Hayze,184.0,True,Perham,,91.0
281,1994-07-16,Auckland,NZ,9,Ken,191.0,True,Maumalo,,111.0
282,,,,9,,,True,,,
283,,,,9,,,True,,,
284,,,,9,,,True,,,
285,,,,9,,,True,,,
286,,,,9,,,True,,,
287,,,,9,Selestino,,True,Ravutaumada,,
288,,,,9,,,True,,,
289,1995-05-19,Auckland,NZ,9,Taane,183.0,True,Milne,,99.0
290,1992-02-29,Wagga Wagga,AUS,10,Ben,179.0,True,Hampton,NSW,89.0
291,1995-10-03,Gympie,AUS,10,Carlin,178.0,True,Anderson,QLD,86.0
292,1995-12-05,Longreach,AUS,10,Dan,193.0,True,Russell,QLD,96.0
293,1998-10-19,Cairns,AUS,10,Enari,188.0,True,Tuala,QLD,96.0
294,1997-12-27,Cairns,AUS,10,Gideon,180.0,True,Gela-Mosby,QLD,89.0
295,1998-01-02,Cairns,AUS,10,Jake,184.0,True,Clifford,QLD,95.0
296,1993-03-30,Cairns,AUS,10,Javid,193.0,True,Bowen,NT,96.0
297,1991-01-28,Lower Hutt,NZ,10,Jordan,184.0,True,Kahu,,93.0
298,1991-04-04,Warwick,AUS,10,Justin,190.0,True,O'Neill,QLD,96.0
299,1998-02-13,Longreach,AUS,10,Kurt,184.0,True,Wiltshire,QLD,95.0
300,1992-02-09,Townsville,AUS,10,Kyle,191.0,True,Feldt,QLD,103.0
301,1991-12-27,Townsville,AUS,10,Michael,185.0,True,Morgan,QLD,94.0
302,1999-03-12,Auckland,NZ,10,Murray,189.0,True,Taulagi,,93.0
303,1994-05-11,Port Moresby,PNG,10,Nene,192.0,True,Macdonald,,108.0
304,1995-10-02,Tokoroa,NZ,10,Te,181.0,True,MaireMartin,,87.0
305,1994-09-07,Redcliffe,AUS,10,Tom,183.0,True,Opacic,QLD,100.0
306,1996-08-14,Bundaberg,AUS,10,Coen,190.0,True,Hess,QLD,114.0
307,1994-01-08,Townsville,AUS,10,Corey,188.0,True,Jensen,QLD,107.0
308,1998-09-08,Huntly,NZ,10,Emry,193.0,True,Pere,,106.0
309,1994-09-03,Auckland,NZ,10,Francis,183.0,True,Molo,,112.0
310,1985-08-19,Murgon,AUS,10,Gavin,197.0,True,Cooper,QLD,108.0
311,1989-02-07,Rockhampton,AUS,10,Jake,172.0,True,Granville,QLD,87.0
312,1993-05-31,Auckland,NZ,10,Jason,191.0,True,Taumalolo,,117.0
313,1993-04-19,Penrith,AUS,10,John,183.0,True,Asiata,NSW,104.0
314,1991-08-10,Sydney,AUS,10,Jordan,196.0,True,McLean,NSW,118.0
315,1990-03-02,Brisbane,AUS,10,Josh,180.0,True,McGuire,QLD,104.0
316,1991-03-15,Brisbane,AUS,10,Kurt,173.0,True,Baptiste,QLD,85.0
317,1999-08-29,Nambour,AUS,10,Logan,194.0,True,Bayliss-Brow,QLD,97.0
318,1985-07-30,Longreach,AUS,10,Matthew,185.0,True,Scott,QLD,110.0
319,1997-02-03,Gold Coast,AUS,10,Mitchell,190.0,True,Dunn,QLD,99.0
320,1999-04-27,-,,10,Peter,192.0,True,Hola,,110.0
321,1998-12-28,Mackay,AUS,10,Reuben,180.0,True,Cotter,QLD,97.0
322,1987-05-09,Innisfail,AUS,10,Scott,187.0,True,Bolton,QLD,112.0
323,1996-03-13,Perth,AUS,10,Shane,188.0,True,Wright,WA,104.0
324,2000-08-05,Brisbane,AUS,10,Tom,185.0,True,Gilbert,QLD,96.0
325,1996-01-04,Inverell,AUS,11,Bevan,181.0,True,French,NSW,86.0
326,1994-09-09,Mona Vale,AUS,11,Clinton,190.0,True,Gutherson,NSW,96.0
327,1993-06-09,Blacktown,AUS,11,George,185.0,True,Jennings,NSW,100.0
328,1997-04-04,Auckland,NZ,11,Greg,180.0,True,Leleisiuao,,99.0
329,1999-01-14,Caringbah,AUS,11,Jaeman,187.0,True,Salmon,NSW,96.0
330,1988-03-10,Mackay,AUS,11,Josh,183.0,True,Hoffman,QLD,89.0
331,1988-04-20,Blacktown,AUS,11,Michael,180.0,True,Jennings,NSW,96.0
332,1994-09-16,Ryde,AUS,11,Mitchell,182.0,True,Moses,NSW,85.0
333,1992-07-03,Newcastle,AUS,11,Will,178.0,True,Smith,NSW,88.0
334,1990-03-20,Sydney,AUS,11,Blake,191.0,True,Ferguson,NSW,102.0
335,1993-10-03,Nandi,Fiji,11,Maika,186.0,True,Sivo,,105.0
336,2000-06-21,Auckland,NZ,11,Dylan,183.0,True,Brown,,85.0
337,,,,11,Ethan,,True,Parry,,
338,,,,11,Haze,,True,Dunster,,
339,1989-06-14,Cronulla,AUS,11,Brad,194.0,True,Takairangi,NSW,108.0
340,1993-05-28,Camperdown,AUS,11,Daniel,190.0,True,Alvaro,NSW,115.0
341,1985-09-30,St Leonards,AUS,11,David,190.0,True,Gower,NSW,105.0
342,1992-01-09,Sydney,AUS,11,Kane,199.0,True,Evans,NSW,110.0
343,1994-05-05,Campbelltown,AUS,11,Kaysa,175.0,True,Pritchard,NSW,88.0
344,1988-08-24,Auckland,NZ,11,Manu,184.0,True,Ma'u,,103.0
345,1996-07-29,Auckland,NZ,11,Marata,188.0,True,Niukore,,106.0
346,1993-03-01,Fairfield,AUS,11,Nathan,185.0,True,Brown,NSW,104.0
347,1999-08-20,-,,11,Oregon,,True,Kaufusi,,
348,1991-11-21,Auckland,NZ,11,Peni,186.0,True,Terepo,,108.0
349,1997-06-06,Moss Vale,AUS,11,Ray,180.0,True,Stone,NSW,95.0
350,1998-04-22,Nambour,AUS,11,Reed,175.0,True,Mahoney,QLD,86.0
351,1995-10-02,Rarotonga,CKI,11,Tepai,190.0,True,Moeroa,,112.0
352,1988-02-15,Canterbury,AUS,11,Tim,184.0,True,Mannah,NSW,110.0
353,1991-11-29,Maryborough,AUS,11,Andrew,195.0,True,Davey,QLD,106.0
354,1993-11-20,Auckland,NZ,11,Junior,188.0,True,Paulo,,123.0
355,1994-11-29,Sydney,AUS,11,Shaun,198.0,True,Lane,NSW,110.0
356,2000-05-15,Otahuhu,NZ,11,Stefano,191.0,True,Utoikamanu,,115.0
357,1998-08-19,-,,11,Salesi,,True,Fainga'a,,
358,1991-06-04,Christchurch,NZ,11,Matt,182.0,True,McIlwrick,,95.0
359,1996-12-13,Goondiwindi,AUS,12,Brayden,198.0,True,McGrady,QLD,91.0
360,1998-08-18,Sydney,AUS,12,Brian,,True,To'o,NSW,
361,1997-11-21,-,,12,Caleb,183.0,True,Aekins,,91.0
362,1995-08-17,Hamilton,NZ,12,Dallin,186.0,True,Watene-Zelezniak,,97.0
363,,,,12,Dean,,True,Blore,,
